gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
PFKM	10.7	11.1	9.5	0.08	0.3153	0.4379	0.13	0.08289	0.1369
ASB8	24.1	23.3	22.9	0.04	0.5683	0.682	0.05	0.4633	0.5621
ZNF641	6.3	3.9	2.5	0.32	1.186e-06	5.838e-06	0.14	0.02247	0.04409
KANSL2	6.8	8.9	9.2	-0.17	0.0282	0.05953	0	0.9719	0.9805
CCNT1	16.3	16.8	13.3	0.15	0.04959	0.09615	0.21	0.004535	0.01064
ADCY6	11.6	15.5	6	0.37	8.726e-07	4.368e-06	0.63	5.245e-17	4.797e-16
CACNB3	17.8	13.2	18.7	-0.04	0.588	0.698	-0.25	0.001277	0.003352
DDX23	36.5	36.8	52.3	-0.41	1.786e-09	1.188e-08	-0.35	6.592e-08	3.06e-07
FKBP11	39.2	68.7	79.6	-0.84	2.171e-37	5.446e-36	-0.14	0.01984	0.03948
ARF3	81.2	99	74.9	0.09	0.125	0.2086	0.4	1.98e-12	1.355e-11
DDN-AS1	1.8	0.9	2.5	-0.07	0.2289	0.3409	-0.16	0.001459	0.003794
PRKAG1	31	31.5	29.5	0.05	0.5094	0.6296	0.1	0.1182	0.1849
KMT2D	21	27.2	19.9	0.05	0.5443	0.6607	0.33	3.112e-06	1.198e-05
LMBR1L	17.2	12.8	12.1	0.27	0.0005632	0.001823	0.07	0.3574	0.4569
AC011603.2	10.8	11.6	19.9	-0.48	2.28e-09	1.501e-08	-0.4	1.826e-07	8.118e-07
TUBA1B	874.7	722.5	1174.6	-0.42	4.801e-25	7.751e-24	-0.64	7.93e-60	2.683e-58
TUBA1A	112.9	86.3	137.1	-0.26	5.539e-06	2.479e-05	-0.55	7.567e-22	8.595e-21
TUBA1C	187.4	181.4	206.1	-0.14	0.01042	0.02491	-0.13	0.01211	0.02575
AC125611.3	1	1.2	1.1	-0.02	0.6376	0.7394	0.01	0.7297	0.7958
TROAP	40.4	30.6	45.2	-0.13	0.06127	0.1148	-0.38	1.637e-08	8.076e-08
DNAJC22	3.4	1	2.4	0.09	0.1321	0.218	-0.15	0.003997	0.009504
SPATS2	92.1	93.6	40.1	0.98	1.447e-56	6.015e-55	1.06	4.615e-70	1.888e-68
MCRS1	47.7	44.7	57.2	-0.22	0.0006785	0.002158	-0.24	9.387e-05	0.0002939
PRPF40B	7.6	8	5.2	0.18	0.01377	0.03186	0.24	0.001058	0.002817
FMNL3	12.3	13.8	12.5	-0.01	0.8637	0.9113	0.11	0.1583	0.2354
TMBIM6	207.6	210.6	232	-0.16	0.0001234	0.0004509	-0.08	0.04471	0.08078
NCKAP5L	19	19.1	11.4	0.39	4.455e-07	2.301e-06	0.43	6.676e-09	3.425e-08
BCDIN3D	3.4	3.8	2.6	0.07	0.2703	0.388	0.12	0.0474	0.08494
FAIM2	1.7	1.2	0.9	0.09	0.04827	0.09412	0.04	0.3844	0.4847
RACGAP1	39.2	28.5	46.5	-0.2	0.006175	0.01564	-0.49	9.412e-12	6.087e-11
ASIC1	2.4	3.2	1.6	0.08	0.1323	0.2181	0.17	0.002075	0.005217
SMARCD1	41.9	40.2	36.2	0.15	0.02231	0.04862	0.15	0.0155	0.03193
COX14	157.9	171.2	139.1	0.16	0.000706	0.002239	0.32	7.015e-12	4.593e-11
AC074032.1	0.6	1.4	1.8	-0.13	0.003688	0.009916	-0.04	0.478	0.5766
CERS5	19.8	21.2	20	-0.01	0.8847	0.9253	0.09	0.2263	0.3169
LIMA1	321.7	402.4	479.2	-0.56	7.75e-48	2.477e-46	-0.19	1.719e-08	8.462e-08
LARP4	30	38	30.5	-0.02	0.7685	0.8423	0.27	3.992e-05	0.0001316
DIP2B	17.5	13.6	13.2	0.22	0.004122	0.01094	0.05	0.4849	0.5836
ATF1	23.2	21.2	29	-0.22	0.003023	0.008267	-0.26	0.0002757	0.0008057
METTL7A	2.2	1	3.3	-0.1	0.09705	0.1688	-0.22	4.089e-05	0.0001346
SLC11A2	8.9	8.9	9.7	-0.05	0.4975	0.618	-0.03	0.7057	0.7766
LETMD1	15.2	17.2	14.5	0.04	0.6315	0.7342	0.17	0.02218	0.04363
CSRNP2	12.8	14.4	10.2	0.15	0.04901	0.09526	0.27	0.0002972	0.0008657
TFCP2	10.3	10.7	10.1	0.01	0.8396	0.893	0.07	0.3797	0.4798
POU6F1	1.7	1.8	2.2	-0.05	0.3996	0.5246	-0.03	0.5846	0.6751
DAZAP2	73.7	71.3	83.4	-0.16	0.006784	0.01703	-0.15	0.01014	0.02199
SMAGP	131.8	114.6	95.1	0.41	3.101e-14	3.016e-13	0.29	8.175e-08	3.765e-07
GALNT6	25.9	14.1	40.8	-0.48	2.359e-11	1.843e-10	-0.97	4.256e-40	9.099e-39
SLC4A8	7.8	5.5	7.9	-0.01	0.8488	0.8998	-0.17	0.02478	0.04817
SCN8A	13.4	17.4	16.6	-0.17	0.03222	0.06673	0.07	0.3158	0.4144
ACVRL1	2	1.3	9.2	-0.58	1.579e-15	1.673e-14	-0.65	5.371e-21	5.86e-20
ACVR1B	6.5	6.7	5.5	0.08	0.2895	0.4097	0.12	0.1008	0.1617
NR4A1	1.7	2.7	1.8	-0.01	0.8821	0.924	0.11	0.0665	0.1138
ATG101	79	89.4	87.6	-0.14	0.01985	0.04392	0.07	0.194	0.2791
KRT80	1.6	2.5	1.4	0.02	0.6601	0.7583	0.12	0.0178	0.03601
KRT7	150	30.8	245.5	-0.66	8.846e-27	1.55e-25	-2.51	6.882e-227	2.084e-224
KRT8	67.9	82.1	15.2	1.53	2.973e-112	3.1e-110	1.82	2.591e-165	3.662e-163
KRT18	180.8	253.5	37.2	1.95	3.812e-140	5.573e-138	2.48	2.467e-238	9.808e-236
EIF4B	144.4	144.1	137.5	0.06	0.2455	0.3596	0.12	0.01776	0.03595
AC068888.1	4	3.5	6.4	-0.2	0.006776	0.01701	-0.23	0.001184	0.00313
TNS2	19.4	21.4	14.5	0.24	0.002244	0.006366	0.37	8.762e-07	3.602e-06
SPRYD3	28.1	34.3	34.9	-0.23	0.001571	0.004612	0.03	0.7063	0.7771
IGFBP6	361.2	377.9	551.8	-0.59	4.899e-49	1.644e-47	-0.48	3.315e-35	5.998e-34
CSAD	3	3.2	3.1	-0.01	0.8353	0.8903	0.02	0.7218	0.7905
ZNF740	6.9	5.9	4.9	0.15	0.0332	0.06847	0.1	0.147	0.2215
RARG	38.8	48.3	50.5	-0.3	8.338e-06	3.637e-05	0	0.943	0.9587
MFSD5	32.9	37.5	38.4	-0.17	0.01568	0.03577	0.02	0.7651	0.8245
ESPL1	6.5	6.9	5.2	0.1	0.1722	0.2712	0.15	0.03311	0.06216
PFDN5	547.2	560.4	424.9	0.35	6.044e-24	9.401e-23	0.43	3.529e-36	6.573e-35
AC073611.1	38	53.3	24	0.46	6.508e-11	4.905e-10	0.89	7.719e-43	1.747e-41
C12orf10	50.1	61.2	55.2	-0.12	0.06293	0.1174	0.17	0.005884	0.01349
AAAS	13.7	11.9	18.6	-0.25	0.001543	0.004542	-0.32	2.885e-05	9.723e-05
SP1	22.7	19.8	17.1	0.24	0.001177	0.003565	0.16	0.02801	0.05358
PRR13	216.6	235.6	234.7	-0.12	0.004806	0.01252	0.05	0.1677	0.2469
PCBP2	716.8	766	947.9	-0.4	2.842e-50	9.96e-49	-0.26	1.195e-22	1.413e-21
MAP3K12	6.7	5.9	5.1	0.12	0.09219	0.1617	0.08	0.2346	0.3267
TARBP2	44.9	44.1	39.2	0.15	0.026	0.05543	0.17	0.006072	0.01386
ATF7	21.2	23.9	16.5	0.21	0.005551	0.01418	0.37	5.432e-07	2.294e-06
ATP5MC2	495.1	509.3	542.5	-0.14	1e-05	4.317e-05	-0.04	0.2099	0.2975
CALCOCO1	16.2	15.3	12.7	0.18	0.01762	0.03961	0.17	0.02087	0.04134
HOXC11	2.7	5.5	8.9	-0.5	1.854e-11	1.46e-10	-0.23	0.001744	0.00446
HOXC10	76.2	107	158.4	-0.94	3.327e-59	1.454e-57	-0.47	5.068e-19	5.084e-18
HOXC6	22	24.4	43.4	-0.7	6.922e-22	9.949e-21	-0.56	4.066e-16	3.518e-15
HOXC9	34.4	38.5	55	-0.53	4.343e-15	4.473e-14	-0.36	1.647e-08	8.119e-08
HOXC-AS1	5.5	3	5.1	0.03	0.7103	0.7976	-0.17	0.01094	0.0235
HOXC8	33.9	45.5	82.1	-1.03	2.676e-51	9.728e-50	-0.66	8.943e-26	1.179e-24
HOXC4	4	3.2	5.1	-0.09	0.2055	0.3131	-0.15	0.02551	0.04942
AC012531.1	0.8	0.5	1.4	-0.06	0.1376	0.2256	-0.09	0.01929	0.03856
HOXC5	1.7	1.6	2.8	-0.11	0.05881	0.1109	-0.11	0.04864	0.08679
SMUG1	28.8	30.3	27.2	0.06	0.4497	0.5732	0.15	0.02967	0.05641
LINC02381	14.9	15.3	45.3	-1.07	1.575e-46	4.817e-45	-1.03	5.61e-46	1.386e-44
CBX5	104.2	90	94.3	0.12	0.04453	0.08773	-0.01	0.8317	0.8762
HNRNPA1	481.9	384.4	454.1	0.07	0.03924	0.07884	-0.18	1.287e-06	5.178e-06
COPZ1	58.4	64	74.2	-0.3	1.927e-06	9.2e-06	-0.13	0.02161	0.04263
ZNF385A	4.5	5	3.2	0.12	0.07499	0.1361	0.18	0.006143	0.01399
ITGA5	278.5	305.7	124.3	1.08	1.773e-97	1.534e-95	1.26	2.304e-138	2.463e-136
METTL7B	1.9	2	0.4	0.16	0.0001597	0.0005705	0.17	3.254e-05	0.0001089
ITGA7	7.9	28	4.2	0.29	8.71e-05	0.0003255	1.32	7.957e-72	3.374e-70
BLOC1S1	23	23	24.6	-0.07	0.3773	0.5031	-0.03	0.7399	0.8033
RDH5	13.6	23.5	6.3	0.48	6.645e-10	4.602e-09	0.98	1.376e-39	2.883e-38
CD63	741.9	865	895.6	-0.28	2.133e-23	3.249e-22	-0.01	0.809	0.8591
AC009779.2	7.1	7.7	5.9	0.09	0.2239	0.3352	0.16	0.02646	0.05099
GDF11	12.5	13.2	8	0.28	0.0002913	0.0009958	0.35	2.573e-06	1.001e-05
SARNP	5.2	5.8	7	-0.15	0.05261	0.1012	-0.08	0.2847	0.3806
ORMDL2	35.7	37.3	58.3	-0.56	2.165e-17	2.55e-16	-0.46	1.321e-13	9.766e-13
DNAJC14	12.3	12.5	13.2	-0.06	0.4719	0.593	-0.01	0.8807	0.9134
MMP19	5.3	7.4	8.1	-0.21	0.004584	0.01202	-0.03	0.7049	0.776
PYM1	30.9	26.4	33.6	-0.09	0.2009	0.3074	-0.21	0.003377	0.00814
DGKA	17.3	18.3	13.2	0.22	0.005975	0.01519	0.3	6.746e-05	0.0002157
CDK2	17.6	18.2	17.2	0.02	0.813	0.8743	0.08	0.2746	0.3697
RAB5B	55.1	53.4	47.1	0.18	0.006126	0.01552	0.19	0.002628	0.006466
SUOX	7.2	3.7	3.9	0.27	0.0002065	0.0007234	0	0.9902	0.9942
IKZF4	4.6	4.6	3.2	0.12	0.05773	0.1093	0.14	0.02618	0.05056
RPS26	1344.9	2008.9	1908.9	-0.5	2.35e-99	2.105e-97	0.11	9.665e-09	4.887e-08
PA2G4	123.7	129.1	134.6	-0.12	0.03034	0.06334	-0.01	0.9097	0.9354
RPL41	10879.9	11191.3	8075.1	0.41	1.447e-97	1.26e-95	0.5	2.677e-116	2.142e-114
ZC3H10	3	3.8	2.3	0.05	0.321	0.444	0.15	0.01428	0.02974
ESYT1	55.7	60.1	58.2	-0.06	0.3665	0.492	0.09	0.1565	0.2334
MYL6B	186.6	172.7	157.3	0.22	1.481e-06	7.202e-06	0.17	0.0001446	0.0004412
MYL6	1635.7	1732.1	1913.6	-0.22	9.493e-14	8.972e-13	-0.07	0.008628	0.01901
SMARCC2	40.6	40.3	52.7	-0.3	4.839e-06	2.188e-05	-0.26	3.437e-05	0.0001145
RNF41	46.2	63.6	34.5	0.32	2.161e-06	1.024e-05	0.74	6.32e-33	1.046e-31
NABP2	88.4	94	80.9	0.11	0.06617	0.1224	0.24	1.506e-05	5.296e-05
ANKRD52	53.5	67.4	46.1	0.16	0.0111	0.02631	0.49	5.693e-16	4.887e-15
COQ10A	9.5	9.7	10.6	-0.07	0.348	0.4718	-0.03	0.676	0.7525
CS	49.4	51.6	62	-0.27	2.875e-05	0.0001161	-0.17	0.005847	0.01341
AC073896.2	10	6.8	12.5	-0.15	0.05217	0.1005	-0.35	5.25e-06	1.961e-05
CNPY2	17.2	13.3	11.8	0.28	0.0002776	0.0009513	0.12	0.1218	0.1897
PAN2	2.5	2.8	2.6	-0.01	0.8358	0.8904	0.03	0.6284	0.7138
STAT2	19.3	19.1	15.9	0.16	0.04372	0.08635	0.19	0.01267	0.02675
TIMELESS	23.1	23.3	31	-0.29	8.574e-05	0.0003209	-0.24	0.0007745	0.002111
SPRYD4	11.1	9.6	16.6	-0.3	0.0001405	0.0005068	-0.37	1.611e-06	6.4e-06
RBMS2	46.2	58	36.6	0.25	0.0001268	0.0004619	0.57	3.508e-20	3.719e-19
BAZ2A	31.4	31.8	30.1	0.04	0.58	0.6915	0.09	0.1531	0.2291
ATP5F1B	145.4	135.2	166.2	-0.18	0.0003505	0.001177	-0.22	6.398e-06	2.361e-05
PTGES3	256.6	219.6	279.4	-0.13	0.00441	0.01161	-0.28	1.172e-10	6.993e-10
NACA	1215.1	1213.6	1234.2	-0.04	0.1342	0.2208	0.02	0.3154	0.414
PRIM1	2.1	2.8	4.3	-0.2	0.001604	0.004694	-0.13	0.05197	0.09187
ZBTB39	2.8	2.9	2.8	0	0.994	0.9957	0.02	0.7257	0.7933
NEMP1	7.3	6.1	10.2	-0.2	0.01119	0.0265	-0.27	0.0003795	0.001086
NAB2	21.8	27.3	28.3	-0.25	0.0008147	0.002545	0	0.9548	0.9673
STAT6	34.4	34.5	36.8	-0.08	0.2712	0.3891	-0.03	0.702	0.7737
LRP1	230.9	231.9	174.7	0.37	5.428e-14	5.204e-13	0.43	1.014e-19	1.048e-18
NXPH4	2.7	4.8	3.8	-0.1	0.1218	0.204	0.1	0.118	0.1847
SHMT2	76.6	83.4	52.9	0.44	4.18e-12	3.492e-11	0.6	1.129e-23	1.388e-22
NDUFA4L2	4.6	8	1.8	0.25	4.403e-05	0.0001728	0.53	2.923e-16	2.549e-15
R3HDM2	31.9	29.7	28.6	0.11	0.1265	0.2106	0.08	0.2482	0.3419
MARS	31.7	34.4	25.7	0.21	0.004344	0.01146	0.34	8.321e-07	3.425e-06
DDIT3	19.4	27.7	15.7	0.17	0.0267	0.05674	0.56	3.558e-14	2.737e-13
MBD6	14.7	15.9	12	0.15	0.05968	0.1123	0.25	0.0009307	0.002501
DCTN2	75	76	80.7	-0.09	0.1129	0.1914	-0.02	0.6651	0.7446
PIP4K2C	8.4	10.7	8.5	-0.01	0.9417	0.9633	0.17	0.02307	0.04519
DTX3	20.6	19.6	16.8	0.17	0.02525	0.05401	0.17	0.02301	0.04508
ARHGEF25	7.7	6.1	8.4	-0.05	0.5017	0.6222	-0.15	0.04509	0.08139
B4GALNT1	24.2	13	15	0.42	4.787e-08	2.77e-07	-0.08	0.3119	0.4106
OS9	44.2	43.8	33.6	0.29	1.378e-05	5.819e-05	0.33	2.713e-07	1.183e-06
AGAP2-AS1	26.4	20.7	48.1	-0.64	5.903e-20	7.896e-19	-0.83	4.155e-33	6.973e-32
TSPAN31	13.7	11.3	13.1	0.03	0.6995	0.7886	-0.08	0.3284	0.4274
CDK4	175	167.6	179.7	-0.04	0.3665	0.492	-0.04	0.3551	0.455
METTL1	6.3	7.8	8.9	-0.19	0.01475	0.03386	-0.05	0.4722	0.5712
EEF1AKMT3	4.6	3.7	5.7	-0.09	0.2222	0.3333	-0.15	0.02765	0.05297
TSFM	7.5	7	8	-0.04	0.6112	0.7176	-0.05	0.488	0.5867
AVIL	1.2	1.2	0.9	0.04	0.3457	0.47	0.03	0.3844	0.4847
CTDSP2	64.4	61.2	72.4	-0.15	0.01366	0.03162	-0.16	0.008141	0.01802
AC084033.3	42.7	35.9	52	-0.23	0.0005124	0.00167	-0.37	8.311e-09	4.226e-08
ATP23	7.6	9	16.9	-0.55	6.907e-12	5.633e-11	-0.42	4.54e-08	2.142e-07
LRIG3	4.2	3.6	3.5	0.06	0.3796	0.5055	0.02	0.7456	0.8087
SLC16A7	12.5	16.1	19.5	-0.36	4.852e-06	2.193e-05	-0.13	0.08576	0.1411
USP15	25.5	25.1	24.2	0.04	0.5349	0.6525	0.07	0.3084	0.4065
MON2	22	22	21.9	0	0.9883	0.9932	0.04	0.5625	0.6557
LINC01465	1.7	1.4	1.5	0.02	0.6903	0.7816	-0.01	0.8826	0.9147
AC048341.1	8.4	5.5	4.1	0.33	4.375e-06	1.997e-05	0.14	0.04375	0.07928
PPM1H	5.7	11	0.8	0.46	2.706e-15	2.823e-14	0.85	7.687e-40	1.627e-38
DPY19L2	1.3	1.1	1.6	-0.02	0.6079	0.7148	-0.05	0.2865	0.3825
RXYLT1	25.7	27.5	30.6	-0.18	0.01559	0.03559	-0.07	0.3331	0.4324
SRGAP1	46.4	45.3	68.3	-0.46	1.06e-12	9.245e-12	-0.44	2.416e-12	1.634e-11
C12orf66	1.9	2	3.2	-0.12	0.03702	0.07496	-0.11	0.05824	0.1013
C12orf56	2.8	1.1	3.2	-0.04	0.5638	0.678	-0.2	0.0001796	0.0005394
XPOT	72.6	80.6	72.2	0	0.9552	0.9717	0.19	0.00195	0.004932
TBK1	15.9	16.4	19.6	-0.18	0.02258	0.04913	-0.12	0.113	0.1781
RASSF3	7.9	12.3	8	-0.01	0.8791	0.9221	0.31	4.753e-05	0.000155
GNS	48.6	54.8	35.6	0.34	2.411e-07	1.286e-06	0.53	2.514e-17	2.344e-16
LEMD3	9.3	8.2	8.1	0.08	0.2855	0.4051	0.04	0.6347	0.7182
MSRB3	219.1	223.2	138	0.61	8.725e-38	2.215e-36	0.69	4.122e-51	1.16e-49
LINC02454	18.2	11.1	4.8	0.82	4.632e-27	8.264e-26	0.48	1.005e-10	6.017e-10
HMGA2	161.4	176	39.4	1.73	5.665e-153	9.008e-151	1.9	3.537e-193	7.143e-191
AC090673.1	4.7	2.5	0.7	0.38	1.825e-12	1.565e-11	0.2	1.003e-05	3.61e-05
LLPH	11.4	15	14	-0.15	0.05862	0.1107	0.09	0.2639	0.3583
TMBIM4	17.7	22	21.5	-0.17	0.02432	0.0523	0.06	0.4249	0.5257
IRAK3	2.2	0.3	7	-0.41	6.276e-09	3.964e-08	-0.61	3.181e-23	3.825e-22
HELB	1.4	1.6	1.6	-0.01	0.7605	0.8363	0.01	0.9169	0.9412
CAND1	48.4	46.4	48.5	-0.01	0.9282	0.9542	0	0.9464	0.9612
DYRK2	19.5	26.6	20.2	-0.04	0.6443	0.745	0.3	3.83e-05	0.0001266
MDM1	3.9	4.1	4.5	-0.05	0.4519	0.5751	-0.02	0.7661	0.825
RAP1B	266	269.2	345.3	-0.37	5.867e-22	8.472e-21	-0.3	4.007e-16	3.47e-15
NUP107	12.6	8.5	14.3	-0.1	0.2199	0.3307	-0.33	2.066e-05	7.112e-05
SLC35E3	14	16.4	16.5	-0.13	0.08709	0.1544	0.02	0.7428	0.8061
MDM2	49.6	53.8	31	0.51	1.888e-14	1.858e-13	0.65	6.638e-24	8.254e-23
AC025423.4	2.1	1.4	1.1	0.1	0.04696	0.09201	0.03	0.46	0.5591
CPM	3.4	2.7	0.5	0.29	4.299e-09	2.756e-08	0.24	1.484e-07	6.653e-07
CPSF6	29.7	26.5	34.7	-0.16	0.02052	0.04516	-0.24	0.0006597	0.001817
YEATS4	20.9	18.7	18.9	0.09	0.259	0.3753	0.03	0.693	0.7667
FRS2	15.3	16.5	13.7	0.08	0.2683	0.3856	0.18	0.01497	0.031
CCT2	73.3	68	74.9	-0.03	0.6531	0.7519	-0.07	0.2601	0.3548
RAB3IP	2.3	2.5	1.1	0.12	0.02007	0.04434	0.14	0.004005	0.009517
AC025159.1	4.8	3.9	6.3	-0.12	0.09362	0.1638	-0.19	0.007442	0.01661
CNOT2	42.6	35.7	45.5	-0.08	0.2381	0.3511	-0.23	0.000524	0.001468
ZFC3H1	34.6	29.5	28.3	0.2	0.004127	0.01095	0.08	0.2268	0.3174
THAP2	9.9	11.1	9.1	0.05	0.527	0.6464	0.16	0.03839	0.07085
TMEM19	19.8	18.7	20.7	-0.04	0.5829	0.6938	-0.05	0.4742	0.5732
RAB21	35.6	40.7	38.6	-0.09	0.1896	0.2927	0.1	0.124	0.1924
TBC1D15	9.2	8.1	7.7	0.1	0.1804	0.2816	0.05	0.4956	0.5935
TRHDE	3.2	3	7.3	-0.34	2.5e-06	1.174e-05	-0.34	1.154e-06	4.672e-06
ATXN7L3B	34.5	34.9	29.6	0.16	0.0282	0.05953	0.21	0.001689	0.004334
CAPS2	1.1	0.7	1.2	-0.01	0.9036	0.9376	-0.06	0.1601	0.2376
GLIPR1	276.9	366.1	302.8	-0.13	0.004259	0.01126	0.31	8.975e-14	6.724e-13
KRR1	25.4	30.3	28	-0.1	0.1764	0.2769	0.12	0.08604	0.1414
PHLDA1	161.5	141.2	92.4	0.72	4.904e-31	1.016e-29	0.59	7.61e-22	8.636e-21
AC011611.3	1.7	1.2	1.2	0.05	0.2587	0.3751	0	0.9961	0.9974
NAP1L1	209.9	217.9	272.4	-0.37	4.932e-19	6.312e-18	-0.25	4.268e-11	2.628e-10
LINC02407	10.9	23.5	4.8	0.43	9.116e-09	5.673e-08	1.09	3.378e-49	9.143e-48
BBS10	5.5	4.3	4.5	0.08	0.2515	0.3665	0	0.9919	0.9949
OSBPL8	150.9	139.6	176.3	-0.22	3.878e-06	1.778e-05	-0.26	1.273e-08	6.37e-08
ZDHHC17	10.6	9.9	8.5	0.14	0.07532	0.1366	0.12	0.1011	0.1621
CSRP2	17.5	23.9	52.2	-1.11	5.338e-52	1.963e-50	-0.79	8.995e-31	1.399e-29
E2F7	11.9	14.1	13.4	-0.09	0.2478	0.3626	0.07	0.3568	0.4564
NAV3	35.1	38.3	25.5	0.32	6.675e-06	2.958e-05	0.46	8.068e-12	5.242e-11
SYT1	7.9	5.4	4.1	0.29	6.494e-05	0.0002479	0.12	0.06469	0.1111
PAWR	107.2	114.1	67.4	0.58	5.653e-22	8.172e-21	0.71	2.699e-35	4.906e-34
PPP1R12A	135.2	132.4	256.4	-0.87	8.263e-64	4.09e-62	-0.84	1.456e-65	5.48e-64
PTPRQ	3	1.6	0.5	0.24	2.913e-07	1.537e-06	0.12	0.003747	0.008954
LIN7A	12.6	7.7	11.4	0.06	0.4162	0.5412	-0.22	0.003988	0.009485
ACSS3	4.5	2.9	1.6	0.27	6.371e-06	2.83e-05	0.14	0.01048	0.02266
CCDC59	53.3	51.1	60.8	-0.16	0.01046	0.02497	-0.16	0.008132	0.018
METTL25	4.2	3.9	3.6	0.05	0.4216	0.5464	0.04	0.5511	0.6453
TMTC2	1.4	0.7	1.8	-0.04	0.4025	0.5269	-0.11	0.01179	0.02512
RASSF9	2.4	1.5	0.9	0.15	0.002269	0.006432	0.06	0.1321	0.2025
C12orf29	15.1	17.3	16	-0.05	0.554	0.6688	0.1	0.1781	0.2595
CEP290	32.6	35.8	33	-0.02	0.8228	0.8816	0.13	0.04836	0.08644
TMTC3	32.7	33.1	29	0.12	0.1008	0.1744	0.18	0.00938	0.02048
KITLG	26.3	43.4	54.9	-0.8	8.198e-29	1.563e-27	-0.23	0.0005849	0.001624
DUSP6	7.8	8.5	4.6	0.24	0.001005	0.003081	0.31	1.015e-05	3.644e-05
POC1B	9.1	9.9	9.7	-0.05	0.576	0.6882	0.03	0.6491	0.7311
GALNT4	2.1	0.7	2.3	-0.02	0.6804	0.7742	-0.16	0.0007347	0.002011
ATP2B1	76.8	69.4	106.1	-0.41	6.972e-12	5.682e-11	-0.49	9.507e-17	8.559e-16
ATP2B1-AS1	4.4	2.1	4.3	0.01	0.9058	0.9387	-0.19	0.002248	0.005618
LUM	31.7	15.3	30.7	0.03	0.667	0.7641	-0.6	3.861e-16	3.348e-15
DCN	60.2	53.8	38.2	0.51	2.943e-14	2.864e-13	0.43	4.325e-11	2.659e-10
BTG1	173.7	204.8	132	0.36	5.33e-10	3.724e-09	0.64	7.828e-31	1.222e-29
EEA1	76.2	97.1	99.3	-0.34	1.276e-08	7.828e-08	0.02	0.737	0.8005
NUDT4	102.8	79.2	73.2	0.42	1.763e-12	1.512e-11	0.14	0.01422	0.02965
UBE2N	110	106.1	128.2	-0.21	0.0001002	0.0003708	-0.2	0.0001477	0.0004501
MRPL42	51.8	54.8	42.6	0.22	0.0006954	0.002208	0.33	4.441e-08	2.099e-07
SOCS2	1.1	1.9	24.1	-1.42	5.254e-70	2.844e-68	-1.35	2.45e-66	9.418e-65
CRADD	5.2	6.1	6.8	-0.13	0.08408	0.1498	-0.03	0.6294	0.7143
CEP83	13.5	12.8	14.7	-0.07	0.3808	0.5067	-0.08	0.3245	0.4236
NDUFA12	95.8	106.2	118.6	-0.28	4.077e-07	2.119e-06	-0.09	0.0734	0.1236
NR2C1	9.7	9.8	9.2	0.03	0.7034	0.7914	0.06	0.3914	0.4919
FGD6	5.2	5.3	3.6	0.14	0.05043	0.09758	0.17	0.01251	0.02646
VEZT	41.2	45	32.7	0.24	0.0003399	0.001143	0.39	1.441e-09	7.852e-09
METAP2	92.4	100.3	94.2	-0.03	0.5858	0.6964	0.13	0.01509	0.03121
NTN4	167.8	303.7	24.9	2.26	5.596e-219	2.094e-216	3.11	0	0
SNRPF	170.9	158.4	164.7	0.04	0.3494	0.4729	0	0.955	0.9674
LTA4H	17.9	20.6	11.4	0.34	8.639e-06	3.764e-05	0.51	1.388e-11	8.866e-11
ELK3	53.8	55.3	48.2	0.12	0.05838	0.1103	0.21	0.0009264	0.002492
CDK17	27.1	23.3	21.1	0.24	0.001528	0.004504	0.13	0.06602	0.1131
CFAP54	1.2	0.8	0.9	0.04	0.3457	0.47	0	0.9677	0.9772
NEDD1	15.5	16.6	19.1	-0.18	0.02493	0.05343	-0.09	0.261	0.3559
TMPO-AS1	8.7	5.8	9.9	-0.08	0.3065	0.4284	-0.27	0.0003205	0.0009287
TMPO	91.4	72.3	110.7	-0.26	0.0001861	0.0006578	-0.49	5.231e-13	3.71e-12
SLC25A3	391.1	389	391.7	-0.01	0.7301	0.813	0.04	0.2142	0.3027
IKBIP	122.2	111.7	153.8	-0.31	1.597e-09	1.071e-08	-0.37	1.65e-13	1.209e-12
APAF1	15.2	11.4	19.6	-0.21	0.006661	0.01677	-0.4	2.561e-07	1.121e-06
UHRF1BP1L	28.4	22	37.2	-0.28	6.473e-05	0.0002473	-0.49	3.8e-12	2.532e-11
ACTR6	6.2	6.2	7.7	-0.11	0.1531	0.2467	-0.09	0.2445	0.3379
SCYL2	36.8	38.5	28	0.28	6.649e-05	0.0002532	0.37	2.113e-08	1.032e-07
GAS2L3	14.1	10.7	17.5	-0.18	0.02428	0.05221	-0.35	7.115e-06	2.61e-05
ANO4	0.5	0.2	4.1	-0.36	1.425e-10	1.038e-09	-0.39	9.799e-15	7.805e-14
UTP20	14	14.8	17	-0.16	0.04371	0.08635	-0.08	0.2851	0.381
ARL1	52.8	50.3	62.9	-0.21	0.0008282	0.002582	-0.22	0.0003977	0.001135
CHPT1	78.3	70.5	103.7	-0.36	5.608e-10	3.905e-09	-0.44	1.061e-14	8.428e-14
GNPTAB	28.2	24.7	35.3	-0.24	0.0009569	0.002948	-0.33	3.549e-06	1.355e-05
DRAM1	31.9	29.6	62.4	-0.75	1.038e-28	1.971e-27	-0.79	4.229e-33	7.088e-32
